1,36070
1,61216
1,49625
1,52821
1,20814
1,37390
1,32841
1,88071
1,23962
1,23965
1,51285
1,54501
1,51603
1,56033
1,56627
1,54872
1,55372
1,58388
1,59770
1,59660
1,62887
1,18019
1,29380
1,34349
1,16305
1,18783
1,50679
1,88365
1,48745
1,23897
1,29333
1,65698
1,9119
1,89702
1,18312
1,70805
1,43627
1,54466
1,10285
1,11726
1,8713
1,8859
1,64767
1,56561
1,66713
1,67745
1,30622
1,5985
1,8822
1,55772
1,27464
1,23265
1,82203
1,76042
1,78022
1,54282
1,27547
1,38094
1,83512
1,66065
1,79813
1,82890
1,47010
1,35274
1,42951
1,49046
1,50950
1,2
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
1,84801
1,31877
16,3
16,3
16,3
16,3
16,3
16,3
16,3
1,20
16,3
1,8
16,3
1,9
16,3
1,8
16,3
1,9
16,3
1,9
1,15838
1,37244
16,3
1,9
16,3
1,9
16,2
16,3
16,3
1,8
16,2
16,3
16,3
1,9
16,3
16,3
16,2
1,9
16,2
16,3
16,3
1,9
16,2
16,3
16,3
16,3
1,9
16,3
16,3
16,3
1,10
16,3
16,3
1,48770
1,53798
1,58426
1,44395
1,26737
1,53938
1,54020
1,52278
1,60199
1,57478
1,80319
1,60642
1,61417
1,59734
1,57656
1,59298
1,59933
1,80217
1,19620
1,81389
1,3685
16,3
1,8
16,2
16,3
1,7542
1,85634
16,3
1,10
16,2
16,3
1,37039
1,44975
1,46116
1,42304
1,41828
1,43908
1,51412
1,2
1,2
32,77
16,3
16,6
16,7
2,29035
2,30598
2,6
2,7
2,7
2,7
2,7
2,13
1,89697
1,17486
1,64195
1,68342
1,13922
1,32978
1,56382
1,53869
1,35380
1,9209
1,78439
1,38343
1,62939
1,60163
1,57538
1,49414
1,61117
1,59242
1,57204
1,50375
1,66107
1,71047
1,93101
1,19609
1,11802
1,89320
1,16613
1,16711
1,20886
1,14321
1,87384
1,29171
1,59711
1,61711
1,59298
1,37165
1,70105
1,65794
1,72635
1,72489
1,72043
1,71473
1,28114
1,63500
1,21684
1,55629
1,63962
1,66311
1,86569
1,53675
1,63098
1,65958
1,63863
1,47011
1,27104
1,29280
1,22352
1,21066
1,74525
1,78853
1,82419
1,74990
1,73600
1,73522
1,89975
1,87604
1,47228
1,33862
1,74428
1,84158
1,88964
1,93044
1,73332
2,6
2,3337
2,2016
2,6
2,6
2,6
2,6
2,17660
1,23252
1,65800
1,43592
1,45602
1,40531
1,88572
1,60615
1,66696
1,59056
1,65078
1,13288
1,48212
1,28989
1,26400
1,30609
1,29873
1,78366
1,72188
1,23323
1,35288
1,44378
1,42390
1,28016
1,45918
1,76879
1,73151
1,59391
1,82134
1,76019
1,88115
1,87940
1,82116
1,83957
1,80304
1,10306
1,92268
1,33814
1,20454
1,29426
1,29752
1,23102
1,86291
1,19262
1,9572
1,82249
1,20071
1,93292
1,30119
2,16360
2,8
2,7
2,17
2,8
2,8
2,8
2,5
1,15406
1,17491
1,29271
